Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ci,11392338,2,"Sunday, November 17, 2013 05:49:29 UTC",32.6130,-115.7722,1.8,8.90,21,"Baja California, Mexico"
ak,10853132,1,"Sunday, November 17, 2013 05:39:53 UTC",61.3735,-149.4778,1.7,29.30, 6,"Southern Alaska"
nc,72108751,0,"Sunday, November 17, 2013 05:27:52 UTC",40.3655,-124.1695,1.8,24.10, 9,"Northern California"
nc,72108741,0,"Sunday, November 17, 2013 05:03:39 UTC",38.8402,-122.7668,1.0,0.30,16,"Northern California"
nc,72108726,1,"Sunday, November 17, 2013 05:02:16 UTC",38.8365,-122.7682,2.3,1.10,43,"Northern California"
ak,10853120,1,"Sunday, November 17, 2013 04:48:58 UTC",63.5624,-151.0173,1.6,11.20, 9,"Central Alaska"
ci,11392322,2,"Sunday, November 17, 2013 04:47:29 UTC",35.9845,-117.8337,1.0,4.10, 8,"Central California"
uw,60631571,2,"Sunday, November 17, 2013 03:54:37 UTC",47.8753,-121.6470,1.0,9.70,16,"Washington"
nc,72108716,1,"Sunday, November 17, 2013 03:24:38 UTC",38.8125,-122.7927,1.3,3.20,28,"Northern California"
nc,72108711,1,"Sunday, November 17, 2013 03:11:25 UTC",38.8218,-122.7937,1.3,3.30,27,"Northern California"
ci,11392306,2,"Sunday, November 17, 2013 03:11:19 UTC",33.8050,-117.6992,1.5,8.00,37,"Greater Los Angeles area, California"
pr,13321001,0,"Sunday, November 17, 2013 03:06:29 UTC",19.3190,-64.6166,2.6,26.00, 5,"Virgin Islands region"
nn,00429341,1,"Sunday, November 17, 2013 02:55:46 UTC",40.2492,-119.7849,1.0,12.60, 6,"Nevada"
ak,10853078,2,"Sunday, November 17, 2013 01:52:55 UTC",59.7370,-152.8024,2.0,99.00,19,"Southern Alaska"
ak,10853073,1,"Sunday, November 17, 2013 01:45:11 UTC",63.4246,-150.4028,1.5,13.70, 7,"Central Alaska"
ak,10853067,2,"Sunday, November 17, 2013 01:31:33 UTC",61.2142,-150.3573,1.1,34.30, 9,"Southern Alaska"
ak,10853064,1,"Sunday, November 17, 2013 01:28:54 UTC",63.3508,-149.9988,1.4,1.80,12,"Central Alaska"
nc,72108691,0,"Sunday, November 17, 2013 01:16:35 UTC",38.8347,-122.7615,1.0,1.50, 7,"Northern California"
nc,72108686,1,"Sunday, November 17, 2013 01:14:49 UTC",38.7847,-122.7760,2.5,2.70,48,"Northern California"
nc,72108671,1,"Sunday, November 17, 2013 00:40:40 UTC",38.8083,-122.8123,1.6,2.30,34,"Northern California"
nc,72108651,0,"Sunday, November 17, 2013 00:12:00 UTC",39.9913,-120.0000,2.0,4.50,15,"Northern California"
ak,10853051,1,"Sunday, November 17, 2013 00:03:05 UTC",62.4602,-148.1296,1.6,97.90,14,"Central Alaska"
nc,72108636,0,"Saturday, November 16, 2013 23:47:39 UTC",38.8002,-122.8130,1.3,2.90,15,"Northern California"
ci,11392282,4,"Saturday, November 16, 2013 23:42:51 UTC",33.7823,-117.8690,2.3,2.10,56,"Greater Los Angeles area, California"
nc,72108626,1,"Saturday, November 16, 2013 23:40:24 UTC",38.8060,-122.8128,2.0,2.50,42,"Northern California"
ak,10853027,2,"Saturday, November 16, 2013 23:17:29 UTC",61.8508,-149.9985,2.1,6.40,36,"Southern Alaska"
ak,10853028,1,"Saturday, November 16, 2013 23:17:00 UTC",62.4653,-151.3548,2.4,34.90, 7,"Central Alaska"
nc,72108611,0,"Saturday, November 16, 2013 22:35:38 UTC",38.8093,-122.8250,1.2,2.40,20,"Northern California"
nc,72108606,0,"Saturday, November 16, 2013 22:29:43 UTC",36.6072,-121.1555,1.1,5.00, 8,"Central California"
uw,60631386,2,"Saturday, November 16, 2013 21:34:12 UTC",47.8712,-121.6588,1.2,12.60,14,"Washington"
nc,72108586,0,"Saturday, November 16, 2013 21:22:38 UTC",37.3025,-122.1738,1.0,10.10, 8,"Northern California"
ak,10852986,2,"Saturday, November 16, 2013 21:03:09 UTC",62.2996,-149.9350,1.1,9.00,17,"Central Alaska"
ak,10852808,2,"Saturday, November 16, 2013 20:37:55 UTC",62.4892,-151.0039,1.4,83.70,17,"Central Alaska"
ci,11392266,2,"Saturday, November 16, 2013 20:16:55 UTC",33.7303,-116.7670,1.2,21.20,16,"Southern California"
nc,72108576,0,"Saturday, November 16, 2013 19:45:38 UTC",39.6538,-122.0138,1.8,19.30, 5,"Northern California"
ci,11392250,2,"Saturday, November 16, 2013 19:03:59 UTC",34.0218,-117.2255,1.6,16.10,57,"Greater Los Angeles area, California"
nc,72108561,0,"Saturday, November 16, 2013 18:58:54 UTC",37.5203,-118.7728,1.3,8.90,12,"Central California"
ci,11392242,2,"Saturday, November 16, 2013 18:46:57 UTC",34.0050,-116.8517,1.1,17.20,24,"Southern California"
ci,11392234,2,"Saturday, November 16, 2013 18:33:25 UTC",33.1707,-115.6818,1.2,10.90,11,"Southern California"
nc,72108541,0,"Saturday, November 16, 2013 17:27:30 UTC",37.4217,-118.5452,1.1,13.10, 9,"Central California"
ci,11392226,2,"Saturday, November 16, 2013 17:10:08 UTC",33.5647,-116.4057,1.1,9.40,28,"Southern California"
nc,72108536,1,"Saturday, November 16, 2013 16:39:45 UTC",38.8085,-122.8165,1.6,3.30,35,"Northern California"
ak,10852757,1,"Saturday, November 16, 2013 16:31:11 UTC",61.9844,-148.4180,1.5,34.20,15,"Southern Alaska"
nc,72108531,0,"Saturday, November 16, 2013 16:30:46 UTC",36.5403,-121.0542,1.4,7.80, 6,"Central California"
ak,10852745,2,"Saturday, November 16, 2013 16:23:20 UTC",63.2137,-150.0128,2.9,103.30,17,"Central Alaska"
nc,72108521,1,"Saturday, November 16, 2013 15:58:51 UTC",38.8167,-122.8162,1.3,2.80,28,"Northern California"
nc,72108516,0,"Saturday, November 16, 2013 15:53:52 UTC",37.9245,-122.0848,1.2,14.30,10,"San Francisco Bay area, California"
nc,72108511,0,"Saturday, November 16, 2013 15:40:34 UTC",38.8358,-122.8072,1.0,2.80,14,"Northern California"
nm,111613f,A,"Saturday, November 16, 2013 15:29:33 UTC",35.3266,-92.7520,2.1,6.80, 8,"Arkansas"
pr,13320004,0,"Saturday, November 16, 2013 15:02:29 UTC",18.9430,-64.9718,2.7,43.00, 7,"Virgin Islands region"
ak,10852714,2,"Saturday, November 16, 2013 14:41:53 UTC",59.1226,-153.2546,3.7,83.50,13,"Southern Alaska"
ak,10852715,1,"Saturday, November 16, 2013 14:41:19 UTC",61.1676,-145.5231,2.3,3.30, 4,"Southern Alaska"
pr,13320003,0,"Saturday, November 16, 2013 14:39:23 UTC",18.1322,-67.2409,1.8,19.00, 5,"Mona Passage, Puerto Rico"
nm,111613e,A,"Saturday, November 16, 2013 13:57:54 UTC",35.4503,-92.7017,1.8,0.10, 9,"Arkansas"
pr,13320002,0,"Saturday, November 16, 2013 13:46:15 UTC",17.8687,-65.5708,2.2,19.00, 5,"Puerto Rico region"
nm,111613d,A,"Saturday, November 16, 2013 13:31:28 UTC",35.4526,-92.6683,1.8,0.40, 9,"Arkansas"
nm,111613c,A,"Saturday, November 16, 2013 13:27:42 UTC",35.4571,-92.6517,1.7,0.10, 8,"Arkansas"
ci,11392194,2,"Saturday, November 16, 2013 13:18:51 UTC",36.0352,-117.7693,1.1,2.80, 8,"Central California"
ci,11392186,2,"Saturday, November 16, 2013 13:18:24 UTC",36.0367,-117.7712,1.2,2.60,10,"Central California"
nm,111613b,A,"Saturday, November 16, 2013 13:17:04 UTC",35.4449,-92.6650,1.7,0.10, 8,"Arkansas"
ak,10852709,2,"Saturday, November 16, 2013 13:10:03 UTC",61.1403,-140.0108,1.2,18.00, 8,"Southern Yukon Territory, Canada"
nm,111613a,A,"Saturday, November 16, 2013 12:55:57 UTC",35.4558,-92.6628,1.9,0.10,11,"Arkansas"
nc,72108451,1,"Saturday, November 16, 2013 12:08:06 UTC",35.8575,-120.4052,2.5,5.30,47,"Central California"
ak,10852700,1,"Saturday, November 16, 2013 11:53:00 UTC",61.5053,-151.2159,2.1,33.70, 5,"Southern Alaska"
ci,11392170,2,"Saturday, November 16, 2013 11:13:24 UTC",36.4098,-117.9580,1.8,0.10,16,"Central California"
ci,11392154,2,"Saturday, November 16, 2013 11:04:10 UTC",34.1560,-117.4490,1.2,9.70,28,"Greater Los Angeles area, California"
